datetime,SOL/USD,BTC/USD
2025-02-19 13:15:00,169.85,96008.68
2025-02-19 13:30:00,169.99,95877.77
2025-02-19 13:45:00,169.67,95655.91
2025-02-19 14:00:00,170.48,95993.72
2025-02-19 14:15:00,169.39,95918.99
2025-02-19 14:30:00,168.94,96033.66
2025-02-19 14:45:00,168.66,96192.99
2025-02-19 15:00:00,169.41,96391.93
2025-02-19 15:15:00,167.69,96288.83
2025-02-19 15:30:00,168.39,96330.4
2025-02-19 15:45:00,166.99,96162.43
2025-02-19 16:00:00,166.89,96227.48
2025-02-19 16:15:00,167.67,96405.1
2025-02-19 16:30:00,167.67,96411.67
2025-02-19 16:45:00,166.92,96310.5
2025-02-19 17:00:00,167.56,96424.53
2025-02-19 17:15:00,167.53,96489.44
2025-02-19 17:30:00,167.52,96467.82
2025-02-19 17:45:00,167.71,96534.02
2025-02-19 18:00:00,168.41,96595.09
2025-02-19 18:15:00,169.28,96653.42
2025-02-19 18:30:00,169.66,96674.53
2025-02-19 18:45:00,168.89,96632.03
2025-02-19 19:00:00,168.66,96538.79
2025-02-19 19:15:00,168.35,96518.92
2025-02-19 19:30:00,168.84,96559.63
2025-02-19 19:45:00,169.98,96866.47
2025-02-19 20:00:00,169.18,96724.07
2025-02-19 20:15:00,169.01,96700.01
2025-02-19 20:30:00,168.23,96687.04
2025-02-19 20:45:00,168.24,96783.52
2025-02-19 21:00:00,169.54,96937.54
2025-02-19 21:15:00,169.5,96872.68
2025-02-19 21:30:00,169.91,96881.45
2025-02-19 21:45:00,171.88,97140.12
2025-02-19 22:00:00,171.36,97162.43
2025-02-19 22:15:00,170.93,96994.89
2025-02-19 22:30:00,171.68,97081.58
2025-02-19 22:45:00,172.43,97073.09
2025-02-19 23:00:00,173.57,97139.99
2025-02-19 23:15:00,173.88,97253.74
2025-02-19 23:30:00,172.99,97237.27
2025-02-19 23:45:00,173.02,97224.09
2025-02-20 00:00:00,172.75,97127.43
2025-02-20 00:15:00,172.6,97027.88
2025-02-20 00:30:00,172.67,97141.01
2025-02-20 00:45:00,172.37,96921.85
2025-02-20 01:00:00,172.09,96818.3
2025-02-20 01:15:00,172.1,96973.96
2025-02-20 01:30:00,171.68,96952.71
2025-02-20 01:45:00,171.77,96925.15
2025-02-20 02:00:00,171.2,96855.37
2025-02-20 02:15:00,171.3,96982.41
2025-02-20 02:30:00,171.8,97030.4
2025-02-20 02:45:00,171.78,96876.04
2025-02-20 03:00:00,171.59,96888.63
2025-02-20 03:15:00,171.89,96994.57
2025-02-20 03:30:00,172.11,97049.32
2025-02-20 03:45:00,172.26,97171.19
2025-02-20 04:00:00,172.25,97242.13
2025-02-20 04:15:00,171.9,97219.1
2025-02-20 04:30:00,172.35,97265.9
2025-02-20 04:45:00,172.08,97203.11
2025-02-20 05:00:00,172.37,97125.89
2025-02-20 05:15:00,172.99,97230.24
2025-02-20 05:30:00,173.41,97302.94
2025-02-20 05:45:00,173.82,97381.77
2025-02-20 06:00:00,173.52,97307.44
2025-02-20 06:15:00,174.63,97299.87
2025-02-20 06:30:00,173.63,97209.43
2025-02-20 06:45:00,173.99,97219.01
2025-02-20 07:00:00,174.77,97455.68
2025-02-20 07:15:00,174.07,97425.18
2025-02-20 07:30:00,174.06,97507.79
2025-02-20 07:45:00,173.37,97437.4
2025-02-20 08:00:00,173.17,97413.16
2025-02-20 08:15:00,172.95,97424.08
2025-02-20 08:30:00,173.02,97340.98
2025-02-20 08:45:00,174.19,97568.67
2025-02-20 09:00:00,175.08,97763.66
2025-02-20 09:15:00,175.41,97808.93
2025-02-20 09:30:00,175.13,97748.77
2025-02-20 09:45:00,172.52,96986.41
2025-02-20 10:00:00,172.9,97075.48
2025-02-20 10:15:00,172.91,97131.52
2025-02-20 10:30:00,172.49,97225.84
2025-02-20 10:45:00,171.61,96918.01
2025-02-20 11:00:00,172.6,97423.14
2025-02-20 11:15:00,173.18,97713.82
2025-02-20 11:30:00,172.84,97973.87
2025-02-20 11:45:00,171.91,97560.61
2025-02-20 12:00:00,172.82,97779.56
2025-02-20 12:15:00,173.04,97900.0
2025-02-20 12:30:00,172.98,97962.3
2025-02-20 12:45:00,173.4,97989.54
2025-02-20 13:00:00,174.17,98236.78
2025-02-20 13:15:00,174.55,98316.41
2025-02-20 13:30:00,174.31,98309.58
2025-02-20 13:45:00,174.34,98326.35
2025-02-20 14:00:00,174.53,98444.97
2025-02-20 14:15:00,175.41,98506.36
2025-02-20 14:30:00,174.42,98415.38
2025-02-20 14:45:00,175.04,98456.62
2025-02-20 15:00:00,175.12,98464.25
2025-02-20 15:15:00,175.36,98634.01
2025-02-20 15:30:00,174.83,98650.99
2025-02-20 15:45:00,174.68,98512.94
2025-02-20 16:00:00,174.14,98346.41
2025-02-20 16:15:00,174.27,98228.92
2025-02-20 16:30:00,173.85,98148.6
2025-02-20 16:45:00,173.39,98122.25
2025-02-20 17:00:00,173.81,98179.71
2025-02-20 17:15:00,174.08,98215.37
2025-02-20 17:30:00,174.19,98329.86
2025-02-20 17:45:00,174.09,98157.99
2025-02-20 18:00:00,174.41,98283.22
2025-02-20 18:15:00,175.3,98336.86
2025-02-20 18:30:00,176.09,98433.27
2025-02-20 18:45:00,176.05,98347.2
2025-02-20 19:00:00,175.72,98505.53
2025-02-20 19:15:00,175.2,98361.41
2025-02-20 19:30:00,174.67,98159.91
2025-02-20 19:45:00,174.43,98267.26
2025-02-20 20:00:00,173.7,98199.01
2025-02-20 20:15:00,173.7,98199.1
2025-02-20 20:30:00,173.98,98233.21
2025-02-20 20:45:00,174.31,98344.99
2025-02-20 21:00:00,174.19,98390.66
2025-02-20 21:15:00,174.06,98296.75
2025-02-20 21:30:00,173.27,98210.03
2025-02-20 21:45:00,173.38,98143.96
2025-02-20 22:00:00,173.75,98181.3
2025-02-20 22:15:00,174.2,98279.29
2025-02-20 22:30:00,173.71,98181.39
2025-02-20 22:45:00,173.32,98174.98
2025-02-20 23:00:00,174.22,98272.74
2025-02-20 23:15:00,174.54,98208.43
2025-02-20 23:30:00,174.31,98290.48
2025-02-20 23:45:00,174.08,98235.36
2025-02-21 00:00:00,174.86,98296.09
2025-02-21 00:15:00,174.69,98294.71
2025-02-21 00:30:00,175.22,98397.67
2025-02-21 00:45:00,175.16,98369.89
2025-02-21 01:00:00,175.43,98391.03
2025-02-21 01:15:00,175.73,98414.08
2025-02-21 01:30:00,176.18,98404.6
2025-02-21 01:45:00,176.01,98428.1
2025-02-21 02:00:00,175.76,98476.29
2025-02-21 02:15:00,176.16,98460.03
2025-02-21 02:30:00,175.89,98316.33
2025-02-21 02:45:00,175.89,98217.89
2025-02-21 03:00:00,176.92,98280.0
2025-02-21 03:15:00,176.89,98205.92
2025-02-21 03:30:00,176.61,98230.34
2025-02-21 03:45:00,176.43,98246.9
2025-02-21 04:00:00,177.88,98376.86
2025-02-21 04:15:00,178.48,98395.22
2025-02-21 04:30:00,177.34,98238.68
2025-02-21 04:45:00,177.59,98376.33
2025-02-21 05:00:00,178.13,98456.27
2025-02-21 05:15:00,178.94,98451.02
2025-02-21 05:30:00,179.51,98553.17
2025-02-21 05:45:00,179.5,98643.0
2025-02-21 06:00:00,178.07,98583.26
2025-02-21 06:15:00,178.42,98796.31
2025-02-21 06:30:00,177.55,98745.78
2025-02-21 06:45:00,177.22,98662.06
2025-02-21 07:00:00,177.17,98664.9
2025-02-21 07:15:00,177.85,98880.68
2025-02-21 07:30:00,177.71,98810.48
2025-02-21 07:45:00,178.23,98931.26
2025-02-21 08:00:00,180.5,99343.8
2025-02-21 08:15:00,179.49,99246.82
2025-02-21 08:30:00,180.03,99366.36
2025-02-21 08:45:00,180.06,99368.76
2025-02-21 09:00:00,178.93,99151.84
2025-02-21 09:15:00,178.93,99095.51
2025-02-21 09:30:00,177.6,98671.55
2025-02-21 09:45:00,177.75,98809.43
2025-02-21 10:00:00,178.24,99214.09
2025-02-21 10:15:00,175.7,98249.72
2025-02-21 10:30:00,171.93,97603.66
2025-02-21 10:45:00,173.23,98127.24
2025-02-21 11:00:00,174.78,98639.27
